,Sex,Job,Housing,Savings account,Checking account,Purpose
0,male,2,own,unknown,little,radio/TV
1,female,2,own,little,moderate,radio/TV
2,male,1,own,little,unknown,education
3,male,2,free,little,little,furniture/equipment
4,male,2,free,little,little,car
5,male,1,free,unknown,unknown,education
6,male,2,own,quite rich,unknown,furniture/equipment
7,male,3,rent,little,moderate,car
8,male,1,own,rich,unknown,radio/TV
9,male,3,own,little,moderate,car
10,female,2,rent,little,moderate,car
11,female,2,rent,little,little,business
12,female,2,own,little,moderate,radio/TV
13,male,1,own,little,little,car
14,female,2,rent,little,little,car
15,female,1,own,moderate,little,radio/TV
16,male,2,own,unknown,unknown,radio/TV
17,male,2,own,unknown,little,business
18,female,3,free,little,moderate,car
19,male,2,own,quite rich,unknown,radio/TV
20,male,2,own,little,unknown,car
21,male,2,rent,quite rich,little,radio/TV
22,male,1,rent,little,little,car
23,male,2,own,moderate,moderate,car
24,male,2,own,unknown,unknown,furniture/equipment
25,male,1,own,little,little,furniture/equipment
26,male,1,own,little,unknown,radio/TV
27,female,2,rent,rich,rich,radio/TV
28,male,2,own,little,moderate,radio/TV
29,male,2,own,little,little,business
30,male,2,own,rich,moderate,business
31,male,2,own,little,little,furniture/equipment
32,male,2,own,moderate,moderate,car
33,male,1,rent,unknown,unknown,business
34,female,3,own,little,rich,furniture/equipment
35,male,1,own,little,moderate,radio/TV
36,male,2,free,little,unknown,education
37,male,2,own,little,rich,radio/TV
38,male,2,own,little,rich,domestic appliances
39,male,2,own,little,moderate,radio/TV
40,male,3,own,quite rich,unknown,radio/TV
41,male,2,own,quite rich,moderate,radio/TV
42,male,1,own,little,moderate,repairs
43,male,2,rent,moderate,little,car
44,female,1,free,little,little,car
45,female,3,own,little,unknown,car
46,male,2,own,quite rich,unknown,radio/TV
47,female,0,rent,quite rich,little,car
48,male,1,own,little,unknown,car
49,female,2,own,moderate,unknown,radio/TV
50,male,1,own,unknown,moderate,furniture/equipment
51,male,3,own,little,moderate,car
52,male,2,own,little,unknown,radio/TV
53,male,2,own,unknown,unknown,car
54,male,2,free,little,moderate,car
55,male,1,own,unknown,unknown,car
56,male,3,own,unknown,moderate,radio/TV
57,female,2,own,little,unknown,radio/TV
58,female,3,own,little,rich,car
59,female,1,rent,little,little,furniture/equipment
60,male,2,own,little,moderate,business
61,male,2,own,unknown,moderate,radio/TV
62,male,3,free,little,moderate,business
63,male,2,own,little,moderate,business
64,female,2,own,little,unknown,radio/TV
65,male,2,own,unknown,unknown,repairs
66,female,2,own,little,unknown,radio/TV
67,male,2,own,rich,moderate,car
68,male,2,free,little,unknown,education
69,female,2,own,unknown,unknown,radio/TV
70,female,2,own,little,unknown,car
71,male,1,rent,unknown,unknown,radio/TV
72,male,3,free,little,little,vacation/others
73,female,1,own,little,moderate,business
74,male,3,own,unknown,little,education
75,male,3,free,little,little,car
76,male,2,own,little,little,radio/TV
77,male,2,own,little,moderate,radio/TV
78,male,1,own,unknown,unknown,car
79,male,2,own,little,moderate,furniture/equipment
80,female,2,own,unknown,unknown,radio/TV
81,male,2,own,quite rich,unknown,radio/TV
82,female,1,rent,moderate,unknown,business
83,female,1,own,little,little,vacation/others
84,male,1,own,little,little,radio/TV
85,female,3,own,little,unknown,business
86,female,2,own,little,moderate,furniture/equipment
87,male,2,free,moderate,moderate,education
88,male,3,own,moderate,little,car
89,male,2,own,little,little,repairs
90,male,2,own,little,unknown,radio/TV
91,male,2,own,little,little,car
92,female,1,own,unknown,unknown,radio/TV
93,male,2,rent,unknown,rich,furniture/equipment
94,male,2,own,rich,moderate,car
95,male,2,rent,little,moderate,business
96,female,2,own,unknown,unknown,education
97,male,2,own,moderate,moderate,business
98,male,2,own,little,moderate,radio/TV
99,male,3,rent,unknown,moderate,car
100,male,1,rent,moderate,unknown,car
101,male,2,rent,little,moderate,radio/TV
102,female,2,own,little,unknown,radio/TV
103,male,2,rent,little,moderate,furniture/equipment
104,male,2,rent,unknown,unknown,car
105,male,3,own,little,moderate,vacation/others
106,male,3,own,little,unknown,car
107,male,2,own,little,moderate,car
108,female,2,own,unknown,little,furniture/equipment
109,male,2,own,quite rich,moderate,business
110,male,2,own,moderate,moderate,business
111,female,2,rent,little,rich,education
112,male,1,rent,little,moderate,car
113,female,2,own,little,unknown,car
114,male,2,own,quite rich,little,radio/TV
115,male,2,own,unknown,unknown,radio/TV
116,female,3,own,unknown,little,radio/TV
117,female,2,rent,unknown,little,furniture/equipment
118,female,2,own,quite rich,little,furniture/equipment
119,male,3,own,quite rich,moderate,car
120,female,2,own,little,little,radio/TV
121,female,3,rent,little,unknown,car
122,male,1,rent,little,unknown,furniture/equipment
123,male,2,free,little,rich,car
124,female,2,rent,unknown,moderate,furniture/equipment
125,male,2,own,little,little,car
126,male,1,own,little,little,radio/TV
127,male,2,own,little,moderate,repairs
128,male,3,own,little,moderate,car
129,female,2,own,little,little,car
130,female,2,own,unknown,moderate,car
131,male,2,own,little,little,education
132,male,1,own,little,unknown,furniture/equipment
133,male,2,free,little,unknown,furniture/equipment
134,female,2,own,moderate,unknown,radio/TV
135,female,2,own,unknown,unknown,radio/TV
136,male,2,own,rich,unknown,car
137,male,1,own,quite rich,moderate,radio/TV
138,male,2,own,unknown,moderate,radio/TV
139,female,1,rent,little,rich,radio/TV
140,male,0,own,rich,rich,car
141,female,3,own,little,moderate,radio/TV
142,male,3,own,little,little,radio/TV
143,male,2,own,little,little,furniture/equipment
144,female,2,own,little,unknown,furniture/equipment
145,male,2,own,moderate,moderate,business
146,female,2,own,little,little,car
147,female,2,own,moderate,unknown,car
148,male,2,own,little,little,furniture/equipment
149,male,2,own,rich,unknown,radio/TV
150,male,2,free,moderate,unknown,radio/TV
151,male,2,own,little,unknown,radio/TV
152,male,2,own,little,rich,radio/TV
153,female,2,rent,rich,moderate,car
154,male,3,rent,moderate,moderate,business
155,female,2,rent,little,little,furniture/equipment
156,male,2,own,moderate,little,repairs
157,male,1,own,little,little,education
158,male,2,own,moderate,moderate,car
159,male,1,own,unknown,unknown,radio/TV
160,male,2,own,moderate,unknown,radio/TV
161,female,2,own,little,unknown,car
162,male,2,own,quite rich,unknown,domestic appliances
163,male,3,free,little,moderate,car
164,male,2,own,quite rich,unknown,car
165,male,2,own,quite rich,unknown,furniture/equipment
166,female,2,own,little,little,furniture/equipment
167,female,2,own,rich,moderate,furniture/equipment
168,female,2,rent,little,unknown,furniture/equipment
169,male,2,own,little,moderate,business
170,male,2,rent,little,little,car
171,female,2,own,little,unknown,furniture/equipment
172,female,3,own,little,moderate,furniture/equipment
173,male,2,own,little,moderate,radio/TV
174,male,2,own,little,little,education
175,female,3,own,unknown,unknown,car
176,male,2,own,little,little,furniture/equipment
177,male,2,own,quite rich,little,radio/TV
178,male,3,rent,little,unknown,radio/TV
179,male,2,own,little,little,car
180,male,2,own,little,unknown,business
181,male,3,own,little,moderate,business
182,male,1,own,unknown,little,car
183,male,2,own,rich,unknown,furniture/equipment
184,male,2,own,little,moderate,car
185,male,2,own,little,unknown,radio/TV
186,female,3,free,little,moderate,car
187,male,0,free,little,moderate,car
188,male,2,own,moderate,little,radio/TV
189,female,2,own,little,moderate,furniture/equipment
190,male,3,own,rich,unknown,business
191,male,1,free,moderate,moderate,business
192,male,2,own,little,moderate,business
193,male,2,rent,little,unknown,radio/TV
194,male,2,rent,moderate,moderate,radio/TV
195,female,3,own,little,moderate,education
196,female,2,own,little,unknown,radio/TV
197,female,2,rent,moderate,moderate,furniture/equipment
198,male,2,free,unknown,moderate,car
199,male,3,own,little,moderate,furniture/equipment
200,male,2,own,quite rich,unknown,education
201,male,1,own,little,little,car
202,male,2,own,little,unknown,business
203,male,2,rent,little,little,education
204,male,1,own,little,unknown,car
205,male,3,free,little,little,car
206,male,2,own,little,unknown,furniture/equipment
207,male,2,own,little,moderate,domestic appliances
208,male,1,own,little,little,business
209,male,2,own,rich,unknown,car
210,male,2,own,unknown,unknown,radio/TV
211,female,1,own,unknown,unknown,radio/TV
212,male,2,own,little,little,business
213,male,3,own,little,rich,business
214,male,2,own,unknown,unknown,radio/TV
215,female,1,own,unknown,moderate,education
216,male,2,own,little,little,business
217,male,2,own,little,rich,radio/TV
218,male,1,rent,little,little,furniture/equipment
219,female,2,own,little,unknown,car
220,male,1,own,little,moderate,radio/TV
221,female,2,rent,unknown,little,education
222,male,2,own,little,unknown,radio/TV
223,male,2,own,unknown,unknown,business
224,male,2,own,little,unknown,car
225,male,2,own,little,unknown,repairs
226,male,2,own,rich,moderate,radio/TV
227,male,3,free,little,little,furniture/equipment
228,male,2,own,little,unknown,radio/TV
229,male,2,free,little,little,furniture/equipment
230,male,2,own,little,rich,radio/TV
231,male,1,free,quite rich,unknown,car
232,male,2,own,moderate,unknown,radio/TV
233,male,1,own,little,moderate,radio/TV
234,male,1,own,little,unknown,radio/TV
235,male,3,own,little,little,radio/TV
236,male,0,own,unknown,moderate,car
237,male,1,rent,moderate,moderate,business
238,female,2,own,little,unknown,radio/TV
239,male,2,own,little,little,radio/TV
240,female,2,own,unknown,little,car
241,male,2,own,little,unknown,radio/TV
242,male,2,free,little,little,car
243,female,2,own,little,unknown,business
244,female,1,own,quite rich,unknown,education
245,male,2,own,little,unknown,business
246,male,2,own,little,unknown,radio/TV
247,male,2,rent,moderate,unknown,car
248,male,2,own,little,rich,furniture/equipment
249,female,2,rent,little,unknown,radio/TV
250,female,1,own,rich,little,car
251,female,1,own,little,rich,furniture/equipment
252,female,2,own,little,moderate,car
253,male,2,own,moderate,unknown,furniture/equipment
254,male,2,own,unknown,moderate,furniture/equipment
255,male,1,own,unknown,moderate,radio/TV
256,male,1,own,little,unknown,radio/TV
257,male,2,free,little,little,radio/TV
258,female,2,own,moderate,unknown,car
259,female,1,own,moderate,unknown,radio/TV
260,male,2,own,little,little,furniture/equipment
261,female,2,own,little,little,radio/TV
262,male,3,free,little,little,car
263,female,1,free,little,unknown,education
264,male,1,own,little,unknown,car
265,male,2,own,little,moderate,radio/TV
266,male,2,own,unknown,unknown,business
267,female,2,own,little,unknown,radio/TV
268,male,3,own,little,little,car
269,male,2,own,unknown,unknown,radio/TV
270,male,2,own,unknown,unknown,car
271,female,2,rent,quite rich,unknown,furniture/equipment
272,male,3,free,unknown,moderate,car
273,male,2,own,little,moderate,radio/TV
274,male,1,own,little,little,repairs
275,male,2,own,little,unknown,radio/TV
276,female,2,own,little,unknown,radio/TV
277,male,1,own,unknown,little,furniture/equipment
278,female,2,own,little,unknown,furniture/equipment
279,male,3,rent,moderate,unknown,radio/TV
280,male,2,rent,rich,unknown,car
281,male,2,own,little,unknown,furniture/equipment
282,male,1,own,unknown,rich,radio/TV
283,male,2,own,unknown,unknown,furniture/equipment
284,male,2,own,moderate,moderate,car
285,female,1,own,little,little,car
286,male,2,own,little,little,car
287,male,3,free,moderate,moderate,vacation/others
288,female,2,own,little,moderate,radio/TV
289,male,2,own,little,little,radio/TV
290,male,2,own,little,unknown,business
291,male,3,rent,little,moderate,car
292,female,3,free,little,little,car
293,male,2,free,little,rich,car
294,male,3,own,unknown,unknown,business
295,female,2,own,little,moderate,furniture/equipment
296,female,2,rent,unknown,unknown,car
297,male,1,own,unknown,unknown,car
298,male,2,own,little,unknown,furniture/equipment
299,male,2,own,rich,moderate,furniture/equipment
300,female,0,own,little,unknown,car
301,female,2,own,little,moderate,radio/TV
302,male,1,own,unknown,rich,car
303,male,2,own,little,little,car
304,male,2,free,quite rich,unknown,car
305,male,2,own,rich,unknown,furniture/equipment
306,female,1,rent,unknown,unknown,car
307,male,1,own,moderate,little,radio/TV
308,female,2,own,little,moderate,furniture/equipment
309,male,1,rent,little,moderate,car
310,male,0,free,unknown,moderate,vacation/others
311,male,2,own,moderate,unknown,furniture/equipment
312,female,2,own,little,rich,furniture/equipment
313,male,1,own,little,moderate,car
314,male,1,own,unknown,rich,car
315,male,2,own,little,little,furniture/equipment
316,male,1,own,little,little,furniture/equipment
317,female,1,own,unknown,moderate,furniture/equipment
318,male,2,own,little,unknown,education
319,female,1,own,little,little,furniture/equipment
320,male,3,own,little,moderate,car
321,male,2,own,little,little,radio/TV
322,male,3,free,little,little,car
323,male,2,own,rich,little,furniture/equipment
324,female,2,own,little,unknown,car
325,male,1,own,little,little,car
326,male,2,rent,unknown,unknown,furniture/equipment
327,female,2,own,rich,unknown,car
328,male,2,own,little,rich,radio/TV
329,male,2,own,little,moderate,radio/TV
330,male,3,free,little,little,car
331,female,2,own,moderate,unknown,education
332,female,3,own,moderate,moderate,car
333,female,1,rent,moderate,unknown,car
334,male,2,rent,little,little,furniture/equipment
335,male,3,rent,little,little,furniture/equipment
336,female,1,own,little,moderate,radio/TV
337,female,2,rent,unknown,little,domestic appliances
338,male,2,own,little,little,furniture/equipment
339,male,1,own,little,moderate,furniture/equipment
340,female,2,free,little,moderate,education
341,female,1,rent,little,little,furniture/equipment
342,male,2,rent,quite rich,moderate,radio/TV
343,male,3,own,little,moderate,business
344,male,1,own,little,rich,car
345,female,1,own,little,unknown,radio/TV
346,male,2,own,little,moderate,radio/TV
347,female,0,rent,quite rich,moderate,radio/TV
348,male,1,own,moderate,unknown,business
349,male,2,free,rich,moderate,education
350,female,2,rent,little,unknown,domestic appliances
351,female,2,own,little,moderate,furniture/equipment
352,male,3,own,unknown,unknown,car
353,male,2,rent,little,little,radio/TV
354,male,2,free,quite rich,unknown,education
355,male,1,own,little,moderate,car
356,male,2,own,unknown,unknown,radio/TV
357,male,3,own,little,unknown,radio/TV
358,male,2,own,little,unknown,radio/TV
359,female,2,rent,little,little,furniture/equipment
360,male,2,free,unknown,moderate,education
361,male,3,own,unknown,rich,radio/TV
362,female,2,own,little,rich,car
363,male,2,rent,little,unknown,furniture/equipment
364,male,0,own,little,little,furniture/equipment
365,male,2,own,little,unknown,business
366,male,2,own,little,unknown,car
367,female,2,rent,little,little,furniture/equipment
368,male,2,own,little,little,furniture/equipment
369,female,2,rent,little,moderate,furniture/equipment
370,male,2,own,unknown,unknown,car
371,male,2,own,little,unknown,radio/TV
372,female,2,rent,little,unknown,furniture/equipment
373,male,3,free,unknown,unknown,car
374,female,3,free,moderate,moderate,vacation/others
375,female,2,rent,little,little,business
376,male,2,own,little,unknown,radio/TV
377,male,2,free,unknown,unknown,radio/TV
378,male,3,free,little,moderate,car
379,female,1,own,moderate,unknown,car
380,male,2,own,unknown,little,furniture/equipment
381,female,3,free,little,moderate,car
382,female,2,rent,unknown,unknown,car
383,male,2,own,little,rich,car
384,male,1,own,moderate,unknown,business
385,female,2,own,little,unknown,radio/TV
386,female,2,rent,unknown,unknown,radio/TV
387,male,3,own,little,moderate,furniture/equipment
388,male,2,own,quite rich,moderate,business
389,female,2,own,little,unknown,business
390,male,3,own,little,unknown,car
391,female,1,rent,rich,moderate,furniture/equipment
392,male,3,free,little,little,car
393,female,2,own,little,little,radio/TV
394,male,3,own,little,unknown,furniture/equipment
395,male,2,rent,moderate,moderate,education
396,female,3,free,little,little,furniture/equipment
397,male,2,own,little,little,furniture/equipment
398,male,2,rent,little,moderate,car
399,female,1,own,rich,unknown,radio/TV
400,male,2,own,little,unknown,radio/TV
401,male,2,own,unknown,moderate,business
402,male,2,own,little,unknown,business
403,male,1,own,little,unknown,car
404,male,2,own,unknown,moderate,car
405,male,2,own,little,moderate,radio/TV
406,male,2,own,unknown,unknown,car
407,male,2,own,little,little,radio/TV
408,male,3,own,quite rich,unknown,radio/TV
409,male,2,own,quite rich,rich,car
410,female,2,own,little,moderate,radio/TV
411,male,3,own,little,unknown,car
412,male,3,own,little,unknown,business
413,male,1,rent,quite rich,unknown,car
414,female,2,own,unknown,little,car
415,male,2,own,little,unknown,car
416,male,1,own,little,little,car
417,female,2,rent,unknown,little,education
418,female,3,own,quite rich,unknown,car
419,female,2,own,unknown,moderate,car
420,female,2,rent,rich,unknown,car
421,male,2,own,unknown,moderate,car
422,male,1,own,little,moderate,car
423,male,3,own,moderate,unknown,furniture/equipment
424,female,2,own,unknown,moderate,furniture/equipment
425,male,2,rent,little,moderate,car
426,male,2,own,little,unknown,radio/TV
427,male,2,own,rich,unknown,radio/TV
428,male,2,own,little,unknown,furniture/equipment
429,female,0,free,little,little,repairs
430,male,1,own,little,unknown,business
431,male,3,own,little,moderate,vacation/others
432,male,3,free,little,little,furniture/equipment
433,male,2,own,little,unknown,repairs
434,male,2,own,little,little,furniture/equipment
435,male,2,own,unknown,moderate,radio/TV
436,male,1,rent,quite rich,unknown,repairs
437,female,2,own,rich,unknown,car
438,male,0,own,little,little,repairs
439,female,0,own,little,rich,business
440,male,3,own,little,unknown,car
441,female,2,own,little,little,furniture/equipment
442,male,2,own,little,moderate,vacation/others
443,male,1,own,little,unknown,education
444,female,3,own,little,moderate,furniture/equipment
445,female,1,rent,unknown,unknown,education
446,female,2,own,little,little,car
447,male,2,own,little,moderate,radio/TV
448,female,3,own,unknown,rich,furniture/equipment
449,male,2,own,rich,moderate,repairs
450,male,3,own,unknown,unknown,car
451,female,2,own,little,unknown,radio/TV
452,male,2,own,little,unknown,furniture/equipment
453,male,3,own,little,unknown,car
454,male,2,own,little,little,car
455,female,3,own,little,unknown,car
456,male,2,rent,little,little,car
457,male,2,free,little,little,car
458,female,2,own,little,little,domestic appliances
459,male,2,own,little,unknown,radio/TV
460,male,2,own,little,little,furniture/equipment
461,male,2,own,little,little,car
462,female,3,rent,little,moderate,furniture/equipment
463,male,2,own,unknown,moderate,education
464,male,2,own,little,unknown,business
465,male,2,own,little,little,car
466,female,1,rent,little,little,radio/TV
467,male,2,own,unknown,unknown,radio/TV
468,female,2,own,little,unknown,business
469,male,1,own,little,unknown,car
470,male,2,rent,moderate,moderate,radio/TV
471,female,2,own,little,little,education
472,male,1,own,little,little,car
473,male,3,own,unknown,unknown,education
474,male,2,own,little,moderate,radio/TV
475,female,2,rent,little,little,furniture/equipment
476,male,2,own,quite rich,unknown,car
477,male,2,own,little,rich,radio/TV
478,male,1,own,moderate,moderate,business
479,male,2,own,little,little,furniture/equipment
480,female,1,own,little,moderate,radio/TV
481,male,2,own,little,moderate,car
482,female,2,rent,rich,little,furniture/equipment
483,female,2,own,rich,unknown,furniture/equipment
484,male,2,own,quite rich,unknown,car
485,male,3,own,little,moderate,car
486,male,2,own,little,unknown,radio/TV
487,female,2,free,little,unknown,car
488,male,1,rent,moderate,unknown,car
489,male,2,rent,little,unknown,car
490,male,2,own,little,unknown,radio/TV
491,female,3,free,little,moderate,business
492,female,2,own,moderate,unknown,radio/TV
493,male,2,own,unknown,moderate,radio/TV
494,male,1,rent,little,little,car
495,male,2,own,unknown,little,furniture/equipment
